country,total,male,female
Afghanistan,103.06,111.47,94.24
Albania,10.54,11.56,9.46
Algeria,19.22,21.2,17.14
Andorra,3.39,3.49,3.27
Angola,57.2,62.37,51.87
Antigua and Barbuda,13.95,16.84,10.91
Argentina,9.14,10.13,8.09
Armenia,11.89,13.43,10.24
Australia,2.96,3.2,2.71
Austria,3.2,3.6,2.77
Azerbaijan,22.93,24.02,21.77
Bahrain,9.98,11.65,8.26
Bangladesh,29.58,32.12,26.93
Barbados,9.79,11.33,8.23
Belarus,3.23,3.69,2.76
Belgium,3.15,3.58,2.69
Belize,10.9,12.08,9.66
Benin,54.33,59.28,49.14
Bhutan,25.61,25.86,25.34
Bolivia,22.28,24.5,19.95
Bosnia and Herzegovina,5.1,5.23,4.96
Botswana,24.41,26.72,22.04
Brazil,13.11,14.68,11.45
Brunei,10.26,12.55,7.86
Bulgaria,7.82,8.85,6.72
Burkina Faso,48.17,52.39,43.83
Burma,32.2,35.34,28.88
Burundi,36.75,40.86,32.52
Cabo Verde,22.96,26.96,18.84
Cambodia,28.75,32.22,25.12
Cameroon,47.4,52.18,42.48
Canada,4.31,4.6,4.02
Central African Republic,81.74,87.69,75.61
Chad,63.99,69.63,58.11
Chile,6.41,6.98,5.82
China,6.49,6.93,6.01
Colombia,11.65,13.07,10.15
Comoros,56.01,66.02,45.7
Costa Rica,8.2,9.24,7.12
Cote d,54.04,61.2,46.65
Croatia,8.58,8.36,8.81
Cuba,4.07,4.58,3.52
Cyprus,8.2,9.87,6.46
Czechia,2.37,2.57,2.16
Democratic Republic of the Congo,59.12,64.65,53.42
Denmark,3.0,3.44,2.53
Djibouti,46.02,53.12,38.71
Dominica,11.0,14.89,6.91
Dominican Republic,20.68,22.95,18.33
Ecuador,17.72,21.22,14.04
Egypt,17.27,18.22,16.25
El Salvador,11.9,13.55,10.18
Equatorial Guinea,77.85,83.76,71.77
Eritrea,40.63,47.45,33.62
Estonia,3.38,3.26,3.5
Eswatini,38.12,42.27,33.85
Ethiopia,32.44,37.13,27.6
Federated States of Micronesia,21.37,24.4,18.19
Fiji,9.85,11.35,8.28
Finland,2.11,2.29,1.92
France,3.1,3.48,2.7
Gabon,27.7,30.61,24.71
Georgia,14.45,16.55,12.23
Germany,3.14,3.51,2.76
Ghana,31.87,35.25,28.38
Greece,3.49,3.89,3.07
Grenada,9.2,8.77,9.68
Guatemala,25.57,28.81,22.18
Guinea,48.32,52.98,43.51
Guinea-Bissau,47.69,53.39,41.82
Guyana,21.63,24.45,18.67
Haiti,38.78,44.36,33.14
Holy See,nan,nan,nan
Honduras,14.77,16.88,12.59
Hungary,4.55,4.88,4.2
Iceland,1.63,1.82,1.44
India,30.36,29.99,30.77
Indonesia,19.31,21.71,16.78
Iran,14.58,15.7,13.4
Iraq,19.17,20.85,17.42
Ireland,3.41,3.84,2.96
Israel,3.49,3.75,3.22
Italy,3.11,3.28,2.94
Jamaica,10.92,12.15,9.62
Japan,1.88,1.99,1.77
Jordan,13.56,14.66,12.39
Kazakhstan,18.77,21.29,16.41
Kenya,26.94,29.94,23.88
Kiribati,32.2,34.17,30.14
Kosovo,24.93,26.36,23.38
Kuwait,7.27,7.57,6.96
Kyrgyzstan,25.08,29.19,20.7
Laos,36.56,40.38,32.59
Latvia,4.78,5.2,4.34
Lebanon,6.88,7.42,6.31
Lesotho,47.04,52.47,41.44
Liberia,43.2,47.23,39.05
Libya,10.95,12.36,9.48
Liechtenstein,3.98,4.34,3.53
Lithuania,3.61,4.06,3.12
Luxembourg,3.21,3.6,2.79
Madagascar,38.27,41.61,34.83
Malawi,32.68,37.12,28.16
Malaysia,6.49,6.87,6.08
Maldives,25.02,28.0,21.89
Mali,58.99,64.31,53.5
Malta,4.45,4.36,4.54
Marshall Islands,21.13,24.56,17.54
Mauritania,49.95,55.84,43.89
Mauritius,11.84,13.35,10.23
Mexico,12.0,13.23,10.71
Moldova,11.38,13.29,9.35
Monaco,1.75,2.05,1.44
Mongolia,19.77,22.81,16.59
Montenegro,3.2,2.69,3.73
Morocco,18.73,20.94,16.41
Mozambique,59.77,61.72,57.76
Namibia,28.49,30.52,26.4
Nauru,7.72,9.94,5.41
Nepal,24.55,25.84,23.18
Netherlands,3.34,3.7,2.97
New Zealand,3.39,3.58,3.18
Nicaragua,18.63,21.7,15.4
Niger,65.53,70.46,60.46
Nigeria,55.17,60.43,49.6
North Korea,22.0,24.85,18.99
North Macedonia,7.16,8.09,6.17
Norway,2.28,2.61,1.93
Oman,14.16,15.38,12.87
Pakistan,52.73,57.13,48.1
Palau,11.04,12.99,8.98
Panama,15.28,16.53,13.96
Papua New Guinea,32.81,36.11,29.34
Paraguay,22.6,26.78,18.2
Peru,10.8,11.89,9.65
Philippines,22.14,24.43,19.73
Poland,4.1,4.52,3.65
Portugal,2.47,2.83,2.1
Qatar,6.46,7.06,5.85
Republic of the Congo,46.62,51.0,42.11
Romania,5.65,5.91,5.37
Russia,6.33,7.19,5.41
Rwanda,25.64,28.08,23.13
Saint Kitts and Nevis,8.19,5.61,10.83
Saint Lucia,11.75,11.03,12.5
Saint Vincent and the Grenadines,12.59,14.23,10.89
Samoa,17.76,21.29,14.06
San Marino,6.36,7.54,5.07
Sao Tome and Principe,43.48,46.93,39.92
Saudi Arabia,11.97,13.16,10.71
Senegal,31.75,35.05,28.28
Serbia,4.55,5.14,3.93
Seychelles,10.38,13.07,7.6
Sierra Leone,72.3,77.24,67.22
Singapore,1.54,1.7,1.37
Slovakia,4.74,5.4,4.05
Slovenia,1.51,1.62,1.4
Solomon Islands,19.53,23.3,15.58
Somalia,85.06,94.68,75.15
South Korea,2.83,3.04,2.6
South Sudan,61.63,67.41,55.55
Spain,2.43,2.7,2.15
Sri Lanka,8.04,9.02,7.03
Sudan,41.4,46.87,35.66
Suriname,29.91,37.95,21.33
Sweden,2.28,2.5,2.05
Switzerland,3.51,4.0,2.99
Syria,15.48,17.06,13.8
Tajikistan,31.62,36.28,26.73
Tanzania,30.25,32.97,27.44
Thailand,6.36,6.99,5.71
The Bahamas,12.52,12.96,12.06
The Gambia,36.44,39.92,32.86
Timor-Leste,32.93,36.12,29.53
Togo,39.79,44.41,35.03
Tonga,12.1,13.09,11.09
Trinidad and Tobago,15.44,17.51,13.28
Tunisia,11.57,12.99,10.07
Turkey,18.85,20.46,17.16
Turkmenistan,36.72,44.67,28.37
Tuvalu,28.32,31.92,24.54
Uganda,29.44,32.82,25.96
Ukraine,7.21,8.14,6.21
United Arab Emirates,5.06,5.63,4.45
United Kingdom,3.79,4.25,3.31
United States,5.12,5.49,4.73
Uruguay,8.14,9.27,6.97
Uzbekistan,18.55,22.09,14.8
Vanuatu,14.0,15.38,12.56
Venezuela,14.1,15.67,12.46
Vietnam,14.42,14.76,14.05
Yemen,45.54,50.87,39.95
Zambia,36.33,39.72,32.83
Zimbabwe,27.67,31.22,24.01
