country,2021
Afghanistan,13.28
Albania,11.82
Algeria,12.7
Andorra,3.7
Angola,8.53
Antigua and Barbuda,11.0
Argentina,10.9
Armenia,20.9
Australia,5.11
Austria,6.3
Azerbaijan,6.58
Bahrain,1.87
Bangladesh,5.23
Barbados,10.41
Belarus,4.74
Belgium,6.42
Belize,8.22
Benin,1.57
Bhutan,4.33
Bolivia,8.51
Bosnia and Herzegovina,15.22
Botswana,24.72
Brazil,14.4
Brunei,7.65
Bulgaria,5.42
Burkina Faso,4.76
Burma,2.17
Burundi,1.79
Cabo Verde,15.42
Cambodia,0.61
Cameroon,3.87
Canada,7.51
Central African Republic,6.57
Chad,1.88
Chile,9.13
China,4.82
Colombia,14.34
Comoros,9.45
Costa Rica,17.95
Cote d,3.47
Croatia,8.68
Cuba,2.76
Cyprus,6.13
Czechia,2.89
Democratic Republic of the Congo,5.43
Denmark,4.8
Djibouti,28.39
Dominica,23.0
Dominican Republic,8.5
Ecuador,6.43
Egypt,9.33
El Salvador,5.94
Equatorial Guinea,9.24
Eritrea,8.05
Estonia,6.33
Eswatini,25.76
Ethiopia,3.69
Federated States of Micronesia,16.2
Fiji,5.24
Finland,7.53
France,8.06
Gabon,22.26
Georgia,10.66
Germany,3.54
Ghana,4.7
Greece,14.8
Grenada,24.0
Guatemala,3.57
Guinea,6.34
Guinea-Bissau,6.76
Guyana,16.42
Haiti,15.73
Holy See,nan
Honduras,8.51
Hungary,4.12
Iceland,5.4
India,5.98
Indonesia,4.41
Iran,11.46
Iraq,14.19
Ireland,6.63
Israel,5.05
Italy,9.83
Jamaica,9.18
Japan,2.8
Jordan,19.25
Kazakhstan,4.9
Kenya,5.74
Kiribati,30.6
Kosovo,30.5
Kuwait,3.71
Kyrgyzstan,9.1
Laos,1.26
Latvia,7.6
Lebanon,14.49
Lesotho,24.6
Liberia,4.09
Libya,19.58
Liechtenstein,2.4
Lithuania,7.9
Luxembourg,5.23
Madagascar,2.59
Malawi,7.02
Malaysia,4.61
Maldives,6.08
Mali,7.72
Malta,3.5
Marshall Islands,36.0
Mauritania,11.46
Mauritius,7.41
Mexico,4.38
Moldova,3.96
Monaco,2.0
Mongolia,7.08
Montenegro,18.49
Morocco,11.47
Mozambique,3.98
Namibia,21.68
Nauru,23.0
Nepal,5.05
Netherlands,4.01
New Zealand,4.12
Nicaragua,5.96
Niger,0.75
Nigeria,9.79
North Korea,2.59
North Macedonia,16.2
Norway,4.99
Oman,3.12
Pakistan,4.35
Palau,1.7
Panama,12.09
Papua New Guinea,2.75
Paraguay,7.21
Peru,4.83
Philippines,2.41
Poland,3.37
Portugal,6.65
Qatar,0.26
Republic of the Congo,23.01
Romania,5.17
Russia,5.01
Rwanda,1.61
Saint Kitts and Nevis,4.5
Saint Lucia,16.91
Saint Vincent and the Grenadines,21.62
Samoa,9.84
San Marino,8.1
Sao Tome and Principe,15.91
Saudi Arabia,7.36
Senegal,3.72
Serbia,11.81
Seychelles,3.0
Sierra Leone,5.33
Singapore,3.62
Slovakia,6.74
Slovenia,4.42
Solomon Islands,1.03
Somalia,19.86
South Korea,3.53
South Sudan,13.91
Spain,14.73
Sri Lanka,5.39
Sudan,19.81
Suriname,10.06
Sweden,8.66
Switzerland,5.32
Syria,10.57
Tajikistan,7.75
Tanzania,2.65
Thailand,1.42
The Bahamas,13.24
The Gambia,11.21
Timor-Leste,5.07
Togo,4.0
Tonga,3.97
Trinidad and Tobago,4.8
Tunisia,16.82
Turkey,13.39
Turkmenistan,5.08
Tuvalu,nan
Uganda,2.94
Ukraine,8.88
United Arab Emirates,3.36
United Kingdom,4.53
United States,5.46
Uruguay,10.45
Uzbekistan,7.16
Vanuatu,2.18
Venezuela,6.41
Vietnam,2.17
Yemen,13.57
Zambia,13.03
Zimbabwe,5.17
